0 <1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
1 (1 2) <1,2,3,4,5,6,7,0,9,10,11,12,13,14,15,> <0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
2 (1 2) <1,2,3,4,5,6,7,0,0,10,11,12,13,14,15,> <0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
3 (1 3) <1,2,3,4,5,6,0,0,0,10,11,12,13,14,15,> <0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,> <0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,> 
4 (1 3) <1,2,3,4,5,6,0,0,0,0,11,12,13,14,15,> <0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,> <0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,> 
5 (2 1) <1,2,3,4,5,6,0,0,9,0,11,12,13,14,15,> <0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,> <0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,> 
6 (2 3) <1,2,3,4,5,6,0,0,9,0,11,12,13,14,15,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> <0,0,0,0,0,0,7,8,0,10,0,0,0,0,0,> 
7 (1 3) <1,2,3,4,5,6,0,0,0,0,11,12,13,14,15,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> <0,0,0,0,0,0,7,8,9,10,0,0,0,0,0,> 
8 (1 2) <1,2,3,4,5,0,0,0,0,0,11,12,13,14,15,> <0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,> <0,0,0,0,0,0,7,8,9,10,0,0,0,0,0,> 
9 (1 2) <1,2,3,4,5,0,0,0,0,0,0,12,13,14,15,> <0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,> <0,0,0,0,0,0,7,8,9,10,0,0,0,0,0,> 
10 (3 1) <1,2,3,4,5,0,0,0,9,0,0,12,13,14,15,> <0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,> <0,0,0,0,0,0,7,8,0,10,0,0,0,0,0,> 
11 (3 2) <1,2,3,4,5,0,0,0,9,0,0,12,13,14,15,> <0,0,0,0,0,6,0,8,0,0,11,0,0,0,0,> <0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,> 
12 (1 2) <1,2,3,4,5,0,0,0,0,0,0,12,13,14,15,> <0,0,0,0,0,6,0,8,9,0,11,0,0,0,0,> <0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,> 
13 (3 1) <1,2,3,4,5,0,0,0,0,10,0,12,13,14,15,> <0,0,0,0,0,6,0,8,9,0,11,0,0,0,0,> <0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,> 
14 (3 1) <1,2,3,4,5,0,7,0,0,10,0,12,13,14,15,> <0,0,0,0,0,6,0,8,9,0,11,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
15 (2 1) <1,2,3,4,5,0,7,0,9,10,0,12,13,14,15,> <0,0,0,0,0,6,0,8,0,0,11,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
16 (2 3) <1,2,3,4,5,0,7,0,9,10,0,12,13,14,15,> <0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,> <0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,> 
17 (1 3) <1,2,3,4,5,0,7,0,0,10,0,12,13,14,15,> <0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,> <0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,> 
18 (1 2) <1,2,3,4,5,0,0,0,0,10,0,12,13,14,15,> <0,0,0,0,0,6,7,0,0,0,11,0,0,0,0,> <0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,> 
19 (1 2) <1,2,3,4,5,0,0,0,0,0,0,12,13,14,15,> <0,0,0,0,0,6,7,0,0,10,11,0,0,0,0,> <0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,> 
20 (3 1) <1,2,3,4,5,0,0,0,9,0,0,12,13,14,15,> <0,0,0,0,0,6,7,0,0,10,11,0,0,0,0,> <0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,> 
21 (3 2) <1,2,3,4,5,0,0,0,9,0,0,12,13,14,15,> <0,0,0,0,0,6,7,8,0,10,11,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
22 (1 2) <1,2,3,4,5,0,0,0,0,0,0,12,13,14,15,> <0,0,0,0,0,6,7,8,9,10,11,0,0,0,0,> <0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,> 
23 (1 3) <1,2,3,4,0,0,0,0,0,0,0,12,13,14,15,> <0,0,0,0,0,6,7,8,9,10,11,0,0,0,0,> <0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,> 
24 (1 3) <1,2,3,4,0,0,0,0,0,0,0,0,13,14,15,> <0,0,0,0,0,6,7,8,9,10,11,0,0,0,0,> <0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,> 
25 (2 1) <1,2,3,4,0,0,0,0,9,0,0,0,13,14,15,> <0,0,0,0,0,6,7,8,0,10,11,0,0,0,0,> <0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,> 
26 (2 3) <1,2,3,4,0,0,0,0,9,0,0,0,13,14,15,> <0,0,0,0,0,6,7,0,0,10,11,0,0,0,0,> <0,0,0,0,5,0,0,8,0,0,0,12,0,0,0,> 
27 (2 3) <1,2,3,4,0,0,0,0,9,0,0,0,13,14,15,> <0,0,0,0,0,6,7,0,0,0,11,0,0,0,0,> <0,0,0,0,5,0,0,8,0,10,0,12,0,0,0,> 
